host,dns_unique_dst,dns_total_queries,auth_unique_users,auth_total_events,auth_failed,proc_unique_processes,proc_total_events,is_compromised
C1,4.0,6.0,9.0,98.0,0.0,8.0,192.0,0
C10,0.0,0.0,35.0,286.0,0.0,6.0,134.0,0
C100,0.0,0.0,2.0,66.0,0.0,14.0,123.0,0
C1000,0.0,0.0,1.0,77.0,0.0,11.0,88.0,0
C10001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1001,0.0,0.0,2.0,92.0,0.0,13.0,96.0,0
C10012,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C1002,0.0,0.0,2.0,77.0,0.0,11.0,80.0,0
C10029,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0
C1003,0.0,0.0,15.0,59.0,0.0,6.0,87.0,0
C10031,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C1004,0.0,0.0,1.0,63.0,0.0,11.0,86.0,0
C10041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10043,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C1005,0.0,0.0,2.0,106.0,0.0,13.0,145.0,0
C10051,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0
C10056,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C1006,17.0,194.0,2.0,99.0,0.0,9.0,1425.0,0
C1007,0.0,0.0,3.0,80.0,0.0,8.0,116.0,0
C10077,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1008,0.0,0.0,2.0,147.0,0.0,11.0,90.0,0
C10083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1009,2.0,6.0,3.0,100.0,0.0,12.0,89.0,0
C10099,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0
C101,0.0,0.0,16.0,10856.0,0.0,12.0,2863.0,0
C1010,1.0,3.0,1.0,34.0,0.0,8.0,314.0,0
C1011,0.0,0.0,2.0,82.0,0.0,17.0,91.0,0
