host,is_compromised,x,y,cluster
C10,,14.40353,4.767684,2
C100,,0.87207186,6.300537,0
C1000,,12.970283,0.12614411,2
C10001,,11.025378,15.65027,2
C10003,,11.399304,16.78549,2
C10005,,17.07458,5.2492275,2
C10008,,11.264095,17.469383,2
C1001,,12.149285,0.41308087,1
C10010,,17.23662,4.833287,2
C10012,,8.317605,4.243394,2
C10014,,5.685467,-0.2050789,1
C10016,,11.774677,17.11418,2
C10018,,2.432623,3.5634062,0
C1002,,-1.8477596,9.190667,0
C10020,,4.117583,2.792286,1
C10022,,17.418484,5.161812,2
C10024,,8.036109,2.2843149,1
C10026,,13.120507,5.734106,2
C10028,,8.515768,3.1995387,2
C1003,,11.498658,3.0489714,2
C10031,,7.36607,4.073756,2
C10033,,6.3052483,3.1107228,1
C10035,,1.6604079,-0.62032986,1
C10037,,6.245365,4.3456936,1
C10039,,4.319601,0.8327896,1
C1004,,11.123623,-4.191077,1
C10043,,7.542009,4.463315,2
C10045,,11.029355,15.724834,2
C10047,,16.362452,4.8968763,2
C10049,,9.545905,4.0108986,2
C1005,,11.584146,-6.8346505,1
C10052,,12.041833,16.661034,2
C10054,,12.203154,16.50888,2
C10056,,5.1852465,4.2542624,1
C10058,,17.40496,5.081502,2
C10060,,4.407783,0.85303575,1
C10061,,6.2793846,1.4585168,1
C10065,,10.965293,17.303888,2
C10067,,16.51343,5.207071,2
C10069,,6.2151723,3.2216184,1
C10071,,3.2963626,2.5392513,1
C10076,,4.114712,3.5517151,1
C10077,,7.273251,4.1903787,2
C10079,,4.282298,2.6309953,1
C1008,,13.350107,0.74269736,2
C10081,,17.508207,5.1898317,2
C10083,,5.062121,2.2533562,1
C10086,,11.259147,15.601624,2
C10087,,2.0021844,-0.06481734,1
C10089,,9.720294,3.9418511,2
C10091,,8.035584,2.3560414,2
C10093,,3.4342873,2.2079852,1
C10095,,9.586681,3.9846804,2
C10098,,14.769526,5.274767,2
C10099,,7.946232,3.2991686,2
C1010,,13.862047,-3.9846668,1
C10101,,14.812694,5.571993,2
C10103,,4.6914835,-1.1856455,1
C10105,,11.161921,16.483538,2
C10107,,12.28519,15.898642,2
C10109,,1.9535472,-0.29914722,1
C1011,,11.176931,-4.2313166,2
C10112,,4.8292904,4.7045326,1
C10114,,5.729002,-0.17136663,1
C10116,,11.270184,7.724738,2
C10118,,16.63282,4.684839,2
C1012,,10.184422,0.07085765,1
C10120,,4.791387,-0.2709842,1
C10121,,6.611749,3.5305882,1
C10123,,2.29539,0.9500105,1
C10125,,12.553909,14.43792,2
C10127,,12.294443,15.245849,2
C10129,,5.657569,-0.21746624,1
C10131,,11.870191,15.105204,2
C10133,,4.8651996,6.1157985,2
C10134,,5.015637,-1.3280406,1
C10138,,17.408785,4.9996214,2
C1014,,11.618148,-6.227148,1
C10142,,1.7844168,0.5834218,1
C10144,,11.404235,2.9616976,2
C10146,,16.886723,4.4046474,2
C10148,,9.467195,3.816336,2
C1015,,13.868288,4.4984713,2
C10150,,4.173249,0.7580914,1
C10152,,1.0709652,-0.6091711,1
C10154,,7.601599,2.1197884,1
C10156,,17.300417,4.9959326,2
C10160,,10.911099,17.224312,2
C10161,,11.78913,9.126762,2
C10163,,3.2476952,2.5280602,1
C10167,,16.827072,4.694673,2
C10169,,16.942642,5.0911183,2
C1017,,11.208017,-6.6011996,1
C10173,,4.9223914,2.8255553,1
C10175,,11.761225,9.152605,2
C10177,,8.155639,2.6371448,2
C10179,,7.474311,2.863975,1
C10181,,11.532056,8.348391,2
C10183,,11.797669,9.313233,2
C10185,,10.991669,16.837187,2
C10187,,6.3402977,3.7669485,1
C10189,,5.1822047,4.3500576,1
C1019,,0.7545134,6.4001613,0
C10194,,11.769999,9.241492,2
C10196,,11.782769,8.913782,2
C10199,,6.0775743,1.3592036,1
C1020,,-1.7129886,9.031442,0
C10203,,11.756141,9.380383,2
C10204,,6.3727813,3.523653,1
C10206,,11.10447,17.096972,2
C10208,,11.191164,15.166645,2
C1021,,10.99557,-3.710806,1
C10210,,11.43384,7.9977098,2
C10213,,11.765377,9.257322,2
C10214,,11.463864,17.527372,2
C10216,,2.0390568,-0.14885455,1
C10218,,14.933468,5.4503217,2
C10219,,4.271811,3.4757283,1
C10221,,11.077047,17.43361,2
C10223,,11.748967,9.381457,2
C10225,,14.132972,4.5971737,2
C10227,,1.9690021,-0.269761,1
C10229,,11.395292,17.53219,2
C1023,,1.2871501,5.713998,0
C10230,,11.773983,9.2601185,2
C10233,,11.168869,17.135517,2
C10235,,4.8703995,-1.3556976,1
C10237,,11.757462,8.850061,2
C10239,,14.519516,-3.1469743,1
C1024,,12.852084,0.30709988,2
C10241,,10.885596,16.695301,2
C10243,,11.518952,17.517458,2
C10245,,11.11512,14.430035,2
C10247,,11.310622,15.72308,2
C10249,,11.536655,17.523682,2
C1025,,14.484357,-3.3031702,1
C10251,,6.0467896,2.7446802,1
C10252,,11.354511,17.565598,2
C10254,,8.150069,2.6619163,2
C10256,,1.7444129,-0.5659527,1
C1026,,1.2809129,5.78634,1
C10260,,8.995893,3.1558337,2
C10261,,11.791957,8.89565,2
C10263,,11.468655,17.527758,2
C10265,,11.437753,17.433872,2
C10267,,5.0024457,2.0918794,1
C10269,,11.515066,17.429546,2
C1027,,10.524244,2.0830805,2
C10271,,4.9566903,4.451083,1
C10277,,10.608987,3.08818,2
C10279,,5.3467474,4.633727,1
C10281,,5.731521,2.5046046,1
C10283,,16.80626,5.0853076,2
C10285,,11.106475,17.126474,2
C10287,,11.521152,17.460684,2
C10289,,4.802458,-1.3624513,1
C10291,,7.7420273,2.1812332,1
C10293,,16.276295,5.0355124,2
C10297,,11.391954,17.385534,2
C10299,,5.588298,-0.9183369,1
C1030,,12.463672,1.1238487,2
C10301,,16.14536,1.682827,2
C10303,,1.6873102,-0.63071615,1
C10305,,11.273821,16.867619,2
C10307,,5.3218484,3.349935,1
C10309,,5.9422646,-0.09710594,1
C10311,,17.388159,5.0669665,2
C10313,,10.877036,16.046453,2
C10314,,10.834034,16.062292,2
C10317,,1.6706473,-0.6426017,1
C10319,,12.219581,16.70651,2
C1032,,-2.032238,8.330232,0
C10321,,6.601078,2.59946,1
C10323,,11.232647,15.696759,2
C10326,,16.19048,5.055886,2
C10328,,14.646215,5.932483,2
C10331,,7.4521666,3.237183,1
C10333,,2.8446677,3.5541058,0
C10338,,14.853434,5.4511228,2
C10342,,3.4779677,2.4063122,1
C10345,,5.0382223,4.7139087,1
C10347,,15.787809,1.9398456,1
C10349,,6.363695,4.460557,1
C10353,,8.371473,2.420233,2
C10355,,3.124872,3.537966,0
C10357,,7.147898,2.419928,1
C10358,,1.6856318,-0.55029553,1
C10360,,4.0392523,2.5964167,1
C10362,,4.2651105,0.8648123,1
C10364,,6.4213657,3.5044656,2
C10366,,11.945867,16.125608,2
C1037,,-1.7336334,9.012753,0
C10371,,17.413832,5.078844,2
C10375,,12.491214,16.043224,2
C10378,,11.2392845,3.0114195,2
C10380,,16.448524,5.1950517,2
C10384,,5.940772,-0.08185571,1
C10386,,11.297614,15.611306,2
C10388,,11.148946,15.730754,2
C1039,,11.504945,0.70986867,1
C10390,,11.478031,15.717388,2
C10392,,16.546478,5.2178025,2
C10394,,6.342723,-0.25637487,1
C10396,,4.334732,4.210002,1
C10397,,12.345761,15.01175,2
C1040,,-2.195736,8.100441,0
C10407,,7.683673,3.2619815,1
C1041,,12.646997,-7.18258,1
C10410,,5.466702,0.2710924,1
C10412,,8.966482,3.6677928,2
C10415,,11.669309,3.1716013,2
C10417,,3.6739976,2.8786206,1
C10421,,11.463919,17.324959,2
C10423,,6.2957783,4.3233724,1
C10428,,11.141611,14.068091,2
C10430,,8.574375,9.836939,2
C10432,,4.97779,-0.17765951,1
C10434,,6.383096,3.5528488,1
C10436,,11.724022,8.709407,2
C10444,,0.24659048,3.1787395,0
C10445,,16.924477,4.712578,2
C10448,,11.131255,17.206125,2
C1045,,-2.2139225,8.068823,0
C10450,,5.618113,12.645326,0
C10451,,1.653375,0.16716164,1
C10453,,10.982531,17.213907,2
C10455,,5.0206923,-1.3987947,1
C10458,,1.8460119,0.4697196,1
C1046,,14.028355,-4.6864214,1
C10460,,4.743288,-1.2768339,1
C10462,,6.3626523,-0.24092445,1
C10464,,10.818365,16.876862,2
C10466,,11.124358,14.082514,2
C10468,,14.782803,5.1740365,2
C10472,,11.073327,15.789693,2
C10477,,5.788332,12.734697,0
C10478,,7.6588855,2.108246,1
C1048,,12.766858,-6.4536,1
C10480,,8.571418,3.7553084,2
C10482,,17.403135,5.160888,2
C10484,,11.094858,14.132175,2
C10486,,4.9759154,-1.4176728,1
C10488,,9.135908,2.7646852,2
C10490,,5.3314705,2.275958,1
C10492,,11.614865,16.681656,2
C10494,,11.317871,15.322428,2
C10495,,5.035579,2.0755627,1
C10497,,6.8198833,4.3556557,1
C10499,,3.7080119,2.810609,1
C1050,,10.1651325,-0.057659872,1
C10501,,11.598015,17.245,2
C10503,,9.02833,3.342586,2
C10505,,11.751363,9.023288,2
C10506,,11.160501,17.221533,2
C10508,,4.960522,-1.4166923,1
C1051,,-1.2168678,7.333588,0
C10510,,16.912983,4.749372,2
C10512,,14.737685,5.448542,2
C10514,,12.080125,15.375251,2
C1052,,11.649356,-6.0173783,1
C10520,,1.726579,-0.5055414,1
C10523,,16.792145,4.9460025,2
C10525,,11.083272,15.923323,2
C10527,,17.016424,4.9568734,2
C10529,,6.680342,8.913129,1
C10531,,3.4954724,2.8552434,1
C10534,,17.446493,5.238922,2
C10539,,10.913986,17.016212,2
C1054,,11.648472,-5.9857254,1
C10543,,8.108608,2.4617827,2
C10552,,6.3623,3.5258756,1
C10554,,7.227916,4.090378,2
C10555,,6.359132,3.5245605,1
C10557,,8.279083,3.0331845,2
C10559,,6.263706,3.8419483,1
C1056,,-1.2395277,7.299827,0
C10561,,11.473383,8.2115965,2
C10563,,12.42445,14.678816,2
C10564,,10.980819,17.19515,2
C10566,,6.363429,-0.09088242,1
C10568,,12.161194,16.40689,2
C10570,,5.7869196,2.5127392,1
C10572,,17.486124,5.189063,2
C10574,,14.163792,6.3675995,2
C10576,,4.7449293,4.255606,1
C10577,,11.476913,17.51465,2
C10579,,17.015673,5.0577383,2
C1058,,10.480584,2.2943141,2
C10583,,9.115703,3.7379723,2
C10585,,5.8713098,-0.71994,1
C10589,,12.220646,16.181032,2
C1059,,-1.8603262,8.517231,0
C10591,,1.6442456,0.46384543,1
C10593,,16.832973,1.8459955,2
C10595,,4.5709205,-0.68514997,1
C10597,,4.1828895,2.6985369,1
C10599,,6.0708704,1.438282,1
C106,,11.429136,1.8589556,2
C1060,,11.186109,-6.6209507,1
C10601,,3.2848616,2.484872,1
C10603,,1.7742126,0.5700115,1
C10605,,5.305968,3.7551973,1
C10607,,16.929287,5.077271,2
C10609,,7.217488,2.6552198,1
C10612,,5.6740494,0.08953417,1
C10614,,16.359568,4.986314,2
C10616,,14.310742,6.2915034,2
C10618,,1.6772982,0.51315403,1
C1062,,-1.2478272,7.322791,0
C10620,,16.783157,4.9985213,2
C10622,,6.143922,-0.04475079,1
C10624,,5.7933555,-0.85781324,1
C10626,,9.133866,2.6427636,2
C10628,,7.5437856,2.2005637,1
C10630,,11.121535,14.434231,2
C10632,,9.831394,4.1517763,2
C10634,,16.26021,1.4200851,1
C10636,,1.0669501,-0.58075434,1
C10638,,4.4361877,2.6659544,1
C1064,,9.89335,0.21739419,1
C10640,,16.424765,1.4783878,2
C10642,,3.5287852,2.786081,1
C10644,,3.3606174,2.3306499,1
C10646,,5.22783,0.46401426,1
C1065,,13.847211,4.265802,-1
C10650,,6.374269,-0.27698556,1
C10654,,8.225562,3.2709665,2
C10656,,10.941338,17.22337,2
C10658,,8.20622,2.3647623,2
C10660,,5.4046874,4.694211,1
C10664,,3.924544,3.3968935,0
C10666,,8.48802,2.5748851,2
C10670,,4.5061917,0.87375534,1
C10672,,3.302553,2.7521067,1
C10674,,10.983054,17.284752,2
C10675,,5.7633595,-0.8699259,1
C10677,,3.8237333,3.0900779,1
C10678,,5.883151,-0.09270943,1
C10682,,9.318592,3.7817473,2
C10684,,16.40515,1.9794573,2
C10686,,11.088778,15.660661,2
C10688,,3.1866188,2.621636,1
C1069,,12.39944,-7.1683726,1
C10690,,10.752575,16.388206,2
C10692,,5.9997654,1.4905354,1
C10694,,9.246566,9.182896,2
C10697,,3.9829032,1.7925994,1
C10699,,11.394273,16.612791,2
C10701,,2.8643005,3.1267989,0
C10704,,5.42775,4.73598,1
